date,provider,blocks,bounces,clicks,deferred,delivered,drops,opens,spam_reports,unique_clicks,unique_opens
2016-03-21,MessageLabs,0,0,0,0,10,0,0,0,0,0
2016-03-21,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-21,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-21,Microsoft Outlook Live,0,0,22,0,413,2,117,0,14,59
2016-03-21,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-21,Orange,0,0,0,0,0,0,0,0,0,0
2016-03-21,Other,24,2,98,381,1493,16,383,0,59,184
2016-03-21,Postini,0,0,0,1,21,0,0,0,0,0
2016-03-21,Prodigy,0,0,75,25,565,0,188,0,38,136
2016-03-21,Rackspace,1,0,0,0,24,3,14,0,0,7
2016-03-21,RoadRunner,0,0,0,0,236,0,4,0,0,0
2016-03-21,Shaw,0,0,0,0,0,0,0,0,0,0
2016-03-21,US Government,0,0,4,0,7,0,5,0,4,4
2016-03-21,US Military,0,0,0,0,1,0,0,0,0,0
2016-03-21,University,1,0,13,3,174,0,15,0,3,13
2016-03-21,Verizon,0,0,2,0,255,0,14,0,2,6
2016-03-21,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-21,Yahoo,0,3,674,5037,21108,3,3118,7,439,1921
2016-03-21,Yandex,0,0,0,0,5,0,0,0,0,0
2016-03-21,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-21,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-21,iCloud,0,0,42,3,2129,0,411,0,36,264
2016-03-22,AOL,0,6,148,1075,2955,2,616,2,107,368
2016-03-22,AT&T,0,2,24,1640,541,0,160,0,20,111
2016-03-22,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-22,Charter,0,0,0,0,115,0,1,0,0,1
2016-03-22,Comcast,0,0,6,3800,900,4,34,0,3,23
2016-03-22,Cox,0,0,8,36,139,0,29,0,4,25
2016-03-22,Dream Host,0,0,0,0,6,0,2,0,0,0
2016-03-22,Earthlink,0,0,0,4,24,0,0,0,0,0
2016-03-22,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-22,GMX,0,0,0,0,36,0,2,0,0,2
2016-03-22,Gmail,19,29,2610,46045,358832,5,20628,0,1707,12612
2016-03-22,GoDaddy,0,2,0,15,89,4,51,0,0,13
2016-03-22,Hotmail,0,2,238,4154,8989,2,1091,14,177,700
2016-03-22,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-22,Mail.Ru,0,0,0,0,11,0,4,0,0,4
2016-03-22,MessageLabs,0,1,0,0,7,1,0,0,0,0
2016-03-22,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-22,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-22,Microsoft Outlook Live,0,0,17,3,415,7,89,0,11,38
2016-03-22,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-22,Orange,0,0,0,0,1,0,1,0,0,1
2016-03-22,Other,13,5,110,535,1485,15,236,0,59,143
2016-03-22,Postini,0,0,0,0,21,0,0,0,0,0
2016-03-22,Prodigy,0,0,66,147,542,1,203,0,50,125
2016-03-22,Rackspace,3,0,3,0,25,5,12,0,2,6
2016-03-22,RoadRunner,0,0,8,0,230,0,7,0,5,6
2016-03-22,Shaw,0,0,0,0,0,0,0,0,0,0
2016-03-22,US Government,0,0,3,0,7,0,2,0,1,1
2016-03-22,US Military,0,0,0,0,0,0,0,0,0,0
2016-03-22,University,1,0,7,6,200,0,40,0,7,26
2016-03-22,Verizon,0,0,2,1,249,0,13,0,2,12
2016-03-22,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-22,Yahoo,0,10,698,5596,21676,5,3105,10,485,1916
2016-03-22,Yandex,0,0,0,0,2,0,0,0,0,0
2016-03-22,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-22,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-22,iCloud,1,2,47,599,2370,0,479,0,39,295
2016-03-23,AOL,0,12,163,3875,2888,4,685,3,106,418
2016-03-23,AT&T,0,2,31,1897,538,0,151,0,22,99
2016-03-23,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-23,Charter,0,0,0,1,109,0,1,0,0,1
2016-03-23,Comcast,0,1,3,3798,874,4,20,0,2,10
2016-03-23,Cox,0,0,6,103,131,0,38,0,5,31
2016-03-23,Dream Host,0,2,0,0,6,0,0,0,0,0
2016-03-23,Earthlink,0,0,0,1,23,1,0,0,0,0
2016-03-23,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-23,GMX,0,0,0,0,40,0,3,0,0,3
2016-03-23,Gmail,17,19,2545,39453,356779,5,19741,0,1628,12080
2016-03-23,GoDaddy,0,0,3,23,97,5,41,0,1,12
2016-03-23,Hotmail,0,5,203,11135,8998,7,1082,3,139,693
2016-03-23,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-23,Mail.Ru,0,0,0,0,10,0,4,0,0,3
2016-03-23,MessageLabs,0,0,0,0,6,0,0,0,0,0
2016-03-23,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-23,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-23,Microsoft Outlook Live,0,0,11,6,402,2,81,0,11,45
2016-03-23,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-23,Orange,0,0,0,0,1,0,2,0,0,1
2016-03-23,Other,16,2,93,514,1462,22,239,1,48,132
2016-03-23,Postini,0,0,0,9,21,0,6,0,0,4
2016-03-23,Prodigy,0,0,43,552,561,0,142,0,30,100
2016-03-23,Rackspace,2,0,20,0,31,1,32,0,4,14
2016-03-23,RoadRunner,1,0,7,0,227,1,12,0,3,6
2016-03-23,Shaw,0,0,0,0,0,0,0,0,0,0
2016-03-23,US Government,0,0,1,0,8,0,2,0,1,1
2016-03-23,US Military,0,0,0,0,1,0,0,0,0,0
2016-03-23,University,0,1,4,11,229,0,47,0,4,29
2016-03-23,Verizon,0,0,8,55,253,0,14,0,6,11
2016-03-23,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-23,Yahoo,0,5,710,7220,21490,2,2938,9,459,1903
2016-03-23,Yandex,0,0,0,0,2,0,0,0,0,0
2016-03-23,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-23,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-23,iCloud,0,2,55,2369,2367,0,413,0,37,254
2016-03-24,AOL,0,14,181,840,3103,4,632,1,116,398
2016-03-24,AT&T,0,5,33,630,562,1,171,0,29,122
2016-03-24,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-24,Charter,0,0,0,2,115,1,0,0,0,0
2016-03-24,Comcast,0,2,6,3856,917,4,33,0,5,14
2016-03-24,Cox,0,0,3,35,157,0,24,0,3,18
2016-03-24,Dream Host,0,0,0,0,9,0,0,0,0,0
2016-03-24,Earthlink,0,2,0,3,25,0,0,0,0,0
2016-03-24,Facebook,0,4,0,0,0,0,0,0,0,0
2016-03-24,GMX,0,0,0,0,42,0,3,0,0,3
2016-03-24,Gmail,30,144,2509,60955,384408,18,17076,0,1601,10376
2016-03-24,GoDaddy,0,2,2,12,119,5,41,0,2,14
2016-03-24,Hotmail,2,79,263,3751,9502,3,1174,1,184,742
2016-03-24,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-24,Mail.Ru,0,0,2,0,12,0,1,0,1,1
2016-03-24,MessageLabs,0,0,1,0,10,0,1,0,1,1
2016-03-24,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-24,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-24,Microsoft Outlook Live,0,0,17,4,470,2,90,0,13,44
2016-03-24,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-24,Orange,0,0,0,0,0,0,0,0,0,0
2016-03-24,Other,34,31,124,980,1655,38,381,0,69,166
2016-03-24,Postini,0,1,0,5,28,0,0,0,0,0
2016-03-24,Prodigy,4,0,52,131,622,1,190,1,38,123
2016-03-24,Rackspace,1,0,7,0,32,2,11,0,3,5
2016-03-24,RoadRunner,2,0,2,9,234,0,9,0,1,5
2016-03-24,Shaw,0,0,0,0,1,0,0,0,0,0
2016-03-24,US Government,0,0,0,0,14,0,2,0,0,1
2016-03-24,US Military,0,0,0,0,3,0,0,0,0,0
2016-03-24,University,2,0,5,17,242,0,32,0,5,18
2016-03-24,Verizon,0,2,12,0,248,0,25,0,8,6
2016-03-24,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-24,Yahoo,0,76,713,5418,23019,8,3098,15,493,1945
2016-03-24,Yandex,0,0,0,0,4,0,0,0,0,0
2016-03-24,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-24,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-24,iCloud,4,0,64,456,2395,0,369,0,50,247
2016-03-25,AOL,0,4,153,3548,3083,3,569,5,106,348
2016-03-25,AT&T,0,0,36,1902,563,0,127,0,27,92
2016-03-25,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-25,Charter,0,0,0,6,112,0,1,0,0,1
2016-03-25,Comcast,0,1,3,4040,903,0,14,0,2,9
2016-03-25,Cox,0,0,6,180,154,0,23,0,5,16
2016-03-25,Dream Host,0,0,0,0,8,0,0,0,0,0
2016-03-25,Earthlink,0,0,0,5,28,0,0,0,0,0
2016-03-25,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-25,GMX,0,0,1,0,42,0,4,0,1,3
2016-03-25,Gmail,15,41,2537,37399,383103,4,15391,0,1538,9610
2016-03-25,GoDaddy,0,1,1,24,130,2,55,0,1,20
2016-03-25,Hotmail,0,4,230,10154,9397,0,1063,0,168,675
2016-03-25,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-25,Mail.Ru,0,0,0,0,13,0,2,0,0,2
2016-03-25,MessageLabs,0,0,0,0,11,0,0,0,0,0
2016-03-25,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-25,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-25,Microsoft Outlook Live,0,2,7,7,455,3,49,0,7,29
2016-03-25,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-25,Orange,0,0,0,0,0,0,0,0,0,0
2016-03-25,Other,29,7,80,1053,1642,20,248,0,47,130
2016-03-25,Postini,0,0,0,18,28,0,0,0,0,0
2016-03-25,Prodigy,0,0,78,694,611,0,213,0,48,133
2016-03-25,Rackspace,1,0,3,0,24,3,26,0,1,6
2016-03-25,RoadRunner,0,0,0,5,234,1,7,0,0,4
2016-03-25,Shaw,0,0,0,0,1,0,0,0,0,0
2016-03-25,US Government,0,0,0,0,13,0,1,0,0,1
2016-03-25,US Military,0,0,0,0,3,0,0,0,0,0
2016-03-25,University,0,0,15,23,243,0,44,0,6,21
2016-03-25,Verizon,0,0,17,55,244,0,34,0,9,11
2016-03-25,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-25,Yahoo,0,15,724,4417,22758,5,3094,11,500,2015
2016-03-25,Yandex,0,0,0,0,3,0,0,0,0,0
2016-03-25,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-25,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-25,iCloud,0,0,57,2223,2400,0,480,0,48,316
2016-03-26,AOL,0,1,146,1591,3020,1,471,0,101,330
2016-03-26,AT&T,0,1,41,1084,543,0,117,0,29,75
2016-03-26,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-26,Charter,0,0,0,0,108,0,0,0,0,0
2016-03-26,Comcast,0,1,6,3843,899,0,16,0,4,7
2016-03-26,Cox,0,0,13,71,154,0,28,0,11,21
2016-03-26,Dream Host,0,0,1,0,9,0,0,0,1,0
2016-03-26,Earthlink,0,0,0,4,33,0,0,0,0,0
2016-03-26,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-26,GMX,0,0,0,0,40,0,2,0,0,2
2016-03-26,Gmail,8,21,2311,42913,378552,7,15178,0,1436,9364
2016-03-26,GoDaddy,0,0,1,8,116,3,18,0,1,7
2016-03-26,Hotmail,0,4,259,4562,9170,1,1117,2,178,762
2016-03-26,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-26,Mail.Ru,0,0,0,0,13,0,3,0,0,3
2016-03-26,MessageLabs,0,0,0,0,10,0,1,0,0,1
2016-03-26,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-26,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-26,Microsoft Outlook Live,0,1,7,0,455,5,41,0,5,30
2016-03-26,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-26,Orange,0,0,0,0,0,0,0,0,0,0
2016-03-26,Other,36,9,77,1169,1597,16,240,1,44,138
2016-03-26,Postini,0,0,0,1,22,0,0,0,0,0
2016-03-26,Prodigy,0,0,59,194,593,0,158,1,38,114
2016-03-26,Rackspace,2,0,5,0,25,1,19,0,3,9
2016-03-26,RoadRunner,0,0,3,0,234,0,6,0,2,4
2016-03-26,Shaw,0,0,0,0,1,0,0,0,0,0
2016-03-26,US Government,0,0,0,0,13,0,2,0,0,0
2016-03-26,US Military,0,0,0,1,4,0,0,0,0,0
2016-03-26,University,0,0,19,14,236,0,37,0,8,23
2016-03-26,Verizon,0,0,3,16,241,0,7,0,2,5
2016-03-26,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-26,Yahoo,0,1,638,5724,22264,3,3124,19,435,1929
2016-03-26,Yandex,0,0,0,0,3,0,1,0,0,1
2016-03-26,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-26,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-26,iCloud,0,0,67,1237,2362,0,532,0,47,302
2016-03-27,AOL,0,2,161,1775,3052,3,617,3,115,396
2016-03-27,AT&T,0,0,24,1768,545,0,110,0,20,73
2016-03-27,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-27,Charter,0,1,0,0,113,0,0,0,0,0
2016-03-27,Comcast,0,1,4,4143,922,1,15,0,3,12
2016-03-27,Cox,0,0,8,51,152,0,32,0,5,26
2016-03-27,Dream Host,0,0,0,0,8,0,0,0,0,0
2016-03-27,Earthlink,0,0,0,5,28,0,1,0,0,1
2016-03-27,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-27,GMX,0,1,0,0,42,0,3,0,0,3
2016-03-27,Gmail,14,15,2591,39883,379714,7,15931,0,1599,10021
2016-03-27,GoDaddy,0,3,2,24,111,4,15,0,2,7
2016-03-27,Hotmail,0,2,250,5020,9137,2,1078,14,175,676
2016-03-27,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-27,Mail.Ru,0,0,5,0,14,0,4,0,1,3
2016-03-27,MessageLabs,0,0,0,9,9,0,2,0,0,2
2016-03-27,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-27,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-27,Microsoft Outlook Live,0,1,0,1,453,0,30,0,0,16
2016-03-27,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-27,Orange,0,0,0,0,0,0,0,0,0,0
2016-03-27,Other,47,5,124,1236,1576,27,196,0,64,126
2016-03-27,Postini,0,0,0,1,21,0,0,0,0,0
2016-03-27,Prodigy,0,0,66,265,602,0,189,0,52,131
2016-03-27,Rackspace,1,0,8,0,30,2,9,0,2,4
2016-03-27,RoadRunner,0,0,3,0,230,0,15,0,3,8
2016-03-27,Shaw,0,0,0,0,1,0,0,0,0,0
2016-03-27,US Government,0,0,0,0,12,0,0,0,0,0
2016-03-27,US Military,0,0,0,0,4,0,0,0,0,0
2016-03-27,University,0,0,19,9,230,0,52,0,9,17
2016-03-27,Verizon,0,1,3,10,231,0,7,0,3,7
2016-03-27,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-27,Yahoo,0,5,631,5380,22292,4,3086,59,465,1923
2016-03-27,Yandex,0,0,0,0,4,0,1,0,0,1
2016-03-27,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-27,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-27,iCloud,0,1,50,702,2377,0,498,0,36,289
2016-03-28,AOL,0,4,138,633,3004,0,559,1,95,385
2016-03-28,AT&T,0,0,47,578,562,0,159,0,36,110
2016-03-28,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-28,Charter,0,1,0,0,117,0,0,0,0,0
2016-03-28,Comcast,0,0,1,3891,903,0,41,0,1,10
2016-03-28,Cox,0,0,9,30,155,0,35,0,6,24
2016-03-28,Dream Host,0,0,4,0,9,0,4,0,2,3
2016-03-28,Earthlink,0,0,0,12,27,0,2,0,0,1
2016-03-28,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-28,GMX,0,0,2,0,46,0,10,0,2,10
2016-03-28,Gmail,12,18,2522,52266,379700,2,16544,0,1555,10323
2016-03-28,GoDaddy,0,1,0,10,109,7,31,0,0,13
2016-03-28,Hotmail,1,6,236,3438,9117,5,1179,4,182,759
2016-03-28,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-28,Mail.Ru,0,0,8,0,14,0,3,0,2,3
2016-03-28,MessageLabs,0,0,0,0,8,0,1,0,0,1
2016-03-28,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-28,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-28,Microsoft Outlook Live,0,2,9,1,449,2,84,0,7,49
2016-03-28,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-28,Orange,0,0,0,0,0,0,0,0,0,0
2016-03-28,Other,43,10,133,1298,1597,19,474,0,70,228
2016-03-28,Postini,0,0,0,0,22,0,0,0,0,0
2016-03-28,Prodigy,0,0,70,118,587,2,183,3,44,133
2016-03-28,Rackspace,5,0,5,0,25,0,15,0,2,9
2016-03-28,RoadRunner,0,0,0,0,221,0,8,0,0,7
2016-03-28,Shaw,0,0,0,0,1,0,0,0,0,0
2016-03-28,US Government,0,0,5,0,13,0,4,0,3,1
2016-03-28,US Military,0,0,0,1,4,0,0,0,0,0
2016-03-28,University,0,1,13,5,221,0,59,0,7,26
2016-03-28,Verizon,0,0,5,0,234,0,20,0,4,17
2016-03-28,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-28,Yahoo,0,12,749,5397,22242,0,3436,27,491,2136
2016-03-28,Yandex,0,0,0,0,4,0,2,0,0,2
2016-03-28,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-28,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-28,iCloud,2,0,67,357,2361,0,407,0,49,262
2016-03-29,AOL,0,5,129,1308,2961,1,554,0,98,364
2016-03-29,AT&T,0,1,17,1865,529,0,122,0,14,69
2016-03-29,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-29,Charter,0,0,0,0,118,0,1,0,0,1
2016-03-29,Comcast,0,1,0,4009,884,4,17,0,0,7
2016-03-29,Cox,0,0,6,76,155,0,41,0,4,16
2016-03-29,Dream Host,0,0,0,0,9,0,1,0,0,1
2016-03-29,Earthlink,0,0,0,35,26,0,0,0,0,0
2016-03-29,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-29,GMX,0,0,1,0,44,0,12,0,1,11
2016-03-29,Gmail,15,18,2336,38164,380136,0,18492,0,1524,10088
2016-03-29,GoDaddy,0,0,11,19,102,2,29,0,5,12
2016-03-29,Hotmail,2,31,221,3834,9103,2,1138,3,151,776
2016-03-29,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-29,Mail.Ru,0,0,0,0,15,0,3,0,0,2
2016-03-29,MessageLabs,0,0,2,0,8,0,1,0,1,1
2016-03-29,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-29,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-29,Microsoft Outlook Live,0,0,4,3,466,1,51,0,4,35
2016-03-29,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-29,Orange,0,0,0,0,0,0,0,0,0,0
2016-03-29,Other,86,2,88,1794,1494,24,323,0,52,184
2016-03-29,Postini,0,0,0,1,19,0,0,0,0,0
2016-03-29,Prodigy,0,0,61,267,569,0,163,0,45,120
2016-03-29,Rackspace,3,0,8,1,27,0,24,0,5,11
2016-03-29,RoadRunner,0,0,6,0,225,0,13,0,3,9
2016-03-29,Shaw,0,0,0,0,1,0,0,0,0,0
2016-03-29,US Government,0,0,2,0,12,0,6,0,1,2
2016-03-29,US Military,0,0,0,2,3,0,0,0,0,0
2016-03-29,University,0,0,7,4,231,0,53,0,5,21
2016-03-29,Verizon,0,0,7,21,238,0,15,0,4,10
2016-03-29,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-29,Yahoo,0,1,693,2606,22000,3,4265,24,480,1970
2016-03-29,Yandex,0,0,0,0,5,0,0,0,0,0
2016-03-29,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-29,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-29,iCloud,5,0,54,844,2355,0,399,0,39,255
2016-03-30,AOL,0,8,188,1049,3213,1,594,2,133,414
2016-03-30,AT&T,0,1,55,1450,576,0,149,0,38,94
2016-03-30,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-30,Charter,0,0,0,0,131,0,0,0,0,0
2016-03-30,Comcast,0,1,0,4476,958,3,29,0,0,9
2016-03-30,Cox,0,0,15,54,167,0,46,0,9,27
2016-03-30,Dream Host,0,0,1,0,10,0,1,0,1,1
2016-03-30,Earthlink,0,0,0,52,27,0,0,0,0,0
2016-03-30,Facebook,0,0,0,3,1,0,0,0,0,0
2016-03-30,GMX,0,0,1,0,48,0,6,0,1,4
2016-03-30,Gmail,18,47,2480,60949,397128,1,15780,1,1608,10068
2016-03-30,GoDaddy,0,2,6,3,115,4,61,0,4,13
